cc,2020,2021,2022,2023
ABW,660.38943244152,657.069316705025,650.025204204469,656.654977106607
AFG,4887018.0634094,3541278.32794806,2812846.32083422,2584138.63626444
AGO,11518994.3,11388384,11423582,11984577.1
ALB,0,0,0,0
AND,475.233516803711,472.844274638196,467.775146950879,468.170678122303
ARE,0,0,0,0
ARG,509723.2,445365.8,347355,411021.6
ARM,55841,43806,32634,20573
ASM,345.624375857244,343.886745191415,340.200106873367,340.487765907129
ATG,648.045704732333,650.928481969464,650.025204204469,656.654977106607
AUS,126990,128505,129985,131435
AUT,57083,56326.4,56454.4,56582.4
AZE,0,0,0,0
BDI,8736498,8998147.2,9271762.5,9541428.8
BEL,9296,9335.2,9368.8,9399.2
BEN,2323979.1,2250960,2190663.4,2123804.2
BFA,6469478.5,6236279.7,6551329.2,6581694.3
BGD,17792420,13720000,10549646.1,8764894.8
BGR,63848,54446.8,49276.8,46199.2
BHR,10479.8248251,10709.6157788184,10819.5783989548,10992.8907278588
BHS,2511.94858881961,2517.74224158,2515.05079009953,2535.41782827273
BIH,2098.8,2095.2,2091,2085
BLR,0,0,0,0
BLZ,83978,79218,76838.4,77548.2
BMU,376.483695130212,368.450084133659,364.500114507179,364.808320614782
BOL,275901.6,254063.6,238627.2,240700
BRA,12339895.1,12077095.8,11525035.2,11267342.9
BRB,1777.49679012297,1768.56040384156,1749.60054963446,1757.16007762786
BRN,2746.47941529417,2757.23479626688,2758.05086643765,2796.86379137999
BTN,4926.5,3798,3667.9,3099.6
BWA,316254.4,316215.9,301766.4,290879.2
CAF,3344803.7,3463860.8,3474364,3567065.6
CAN,94007.5,94810,95605,96392.5
CHE,2601.3,2619.3,2636.7,2653.8
CHI,1036.87312757173,1031.66023557425,1026.67532252855,1033.62357507521
CHL,114532.6,100467,99290.2,99952.7
CHN-R,1703363.2,856804.8,782653.5,660790
CHN-U,700060.8,357190.8,364032.4,277912.8
CIV,2624951.3,2693531.2,2703053.4,2533651.7
CMR,6222372.3,6251393.7,6372374.4,6371172.4
COD,58482567,59870662.4,61379456.6,61556136
COG,3109082.9,3026095.8,2998582.4,3005902.6
COL,3063420,2427648,2097821.6,2100963
COM,154942.7,158685.6,164167,167698.6
CPV,37365.3,32545.8,14084.4,12524.4
CRI,62545.6,63091.2,54367.4,52217
CUB,564211.722300455,507990.531503151,473366.37953649,465841.311010194
CUW,1012.18567215336,1007.096896632,1002.37531489474,1009.30302036756
CYM,394.999286693993,399.154257811464,394.875124049444,401.28915267626
CYP,1812,1824,1836,1848
CZE,0,0,0,0
DEU,0,0,0,0
DJI,155700,149463.6,146901.2,141680.1
DMA,3680.92198786831,3357.44676878333,3086.0986148502,3076.46329829464
DNK,14492.5,14547.5,14607.5,14665
DOM,101082.8,93109.4,86062.4,80010
DZA,160332.1,153891.5,147130.5,140054.9
ECU,726378.4,646502.4,606980,614754.8
EGY,1451468.1,1214427.2,1149292.8,1091981.7
ERI,2003771.09146467,1905021.67675252,1927715.14850984,1967434.70233209
ESP,408848,399461.4,366749.6,366457.3
EST,7280,6225.6,6206.4,6187.2
ETH,17748266.6,15971913.6,15206772,14488920
FIN,2232,2239.2,2246.8,2254
FJI,24116.4,30597,14788.8,9985.2
FRA,32860.5,32977.5,33091.5,33202.5
FRO,308.593192729682,307.041736778049,309.825097331102,310.087072522564
FSM,17236.8,17472.7,17865.1,17793.3
GAB,62163.9,68452.8,73854,72142.8
GBR,336670,338495,340285,342025
GEO,150501.4,94478.4,98838,84169.8
GHA,7084187,7332103.8,7380149,7633810.5
GIB,216.015234910778,214.929215744634,212.625066795854,212.804853691956
GIN,1731250.9,1735530,1599487.5,1514496
GMB,380638,380196,382252.5,371654.4
GNB,496800,460595.2,453784,439305.6
GNQ,518649.144808417,497946.260062045,508490.454739874,523812.961417039
GRC,92146.6,79740,75099.2,74874.8
GRD,5349.60662236861,4815.28549733398,4567.4259499783,4493.25560671981
GRL,351.796239711838,350.027579926976,346.27510878182,346.567904584042
GTM,1330787.3,1138425.6,1081181.4,1081652
GUM,1043.04499142633,1043.94190504537,1038.82532634546,1045.78385242904
GUY,36781.5,31959,25647.9,23849.1
HKG,46585.2283744728,46658.0623207924,46431.2395863061,46725.8657320766
HND,1440355.8,1115197,1058796.9,1057056
HRV,10701.6,9413.9,9358.7,9308.1
HTI,3080674.8,3114808.2,3230031.7,3391070.2
HUN,30787.2,28761,25787.7,25690.5
IDN-R,8274183.4,7747674,6173482.9,5114321.1
IDN-U,5967114.3,5652993.5,4612778.8,3836734.2
IMN,524.60842764046,534.252621993806,528.525166035409,535.052203568346
IND-R,141855602.4,98860213.5,77205883,68653768.3
IND-U,58696528.5,44216346,36555221,33996478.4
IRL,2932.8,2955.6,2977.2,2998.2
IRN,794086,733479.6,637365,573580.3
IRQ,8300.6,8522.4,8747.2,8975
ISL,0,0,0,0
ISR,43570,44210,21525.6,21830.4
ITA,597233.2,590380,583476.3,582446.7
JAM,53599.2,49623,42982.8,41870.4
JOR,10209,10320,10405,10474
JPN,923420.8,920595.7,917588.1,914383.4
KAZ,3755.4,3791.4,3826.2,1929.7
KEN,17984010.4,17108106.3,17138659.2,16455146.5
KGZ,88228,30633.6,25836,25482.6
KHM,236689.447892865,234318.725454842,198020.190582092,181222.421152782
KIR,2464.4,1835.2,1890,1894.4
KNA,351.796239711838,356.168414662537,352.350110690273,352.648043260956
KOR,118466.1,118834.1,119179.1,119508
KWT,26557.5301663165,26780.1802817815,26863.6584391791,27263.341827278
LAO,500833.5,505504.8,482684.8,433531.8
LBN,0,0,0,0
LBR,1676664,1655404.8,1652876.6,1627365.6
LBY,689104.182983684,705691.478565476,722050.694520315,747171.660146539
LCA,13050.1,11891.7,9113.4,8692.5
LIE,240.702690329152,239.492554686878,236.925074429666,243.205547076521
LKA,290959.2,268554.2,449524.8,450690.8
LSO,764634.6,769247.2,767158.2,764375.7
LTU,15686,15052,14988.4,14914.2
LUX,604,611,619,627
LVA,4732.5,4500,4461.6,4420.8
MAC,4024.05523319506,4065.23259494137,4082.4012824804,4146.65457765468
MAR,526408.2,374980,367765.8,348702.9
MCO,240.702690329152,239.492554686878,243.000076338119,243.205547076521
MDA,1205.4,0,0,0
MDG,21842660.8,22365576.8,22949841.6,23438460.2
MDV,0,0,0,0
MEX,4872868,4142750.4,3654402.3,3499571.9
MHL,450.5,459,450.5,450.5
MKD,64728,54314,53687.3,52459
MLI,3105633.5,3211100.4,3382158,3382763.1
MLT,1305,1308,1308,1311
MMR,580964.8,1448047.8,1348399.8,1241047.6
MNE,18144,16102.4,13209,12957.4
MNG,18933.1,26983.3,21068.8,17976.6
MNP,345.624375857244,337.745910455854,334.125104964914,334.407627230216
MOZ,23679266.1,23879078,24384425.6,24578347.2
MRT,243984,250308,256683,251292
MUS,4076.8,2679.6,2302.2,1536
MWI,14176487.6,14444857.5,15035790.6,15567472.8
MYS,3286.9,3328.9,3371.1,3413.1
NAM,578022.4,498481.2,416971.6,418850.4
NCL,1771.32492626838,1786.98290804825,1786.05056108518,1805.80118704317
NER,11406735,12603024,13606730.8,14063200.8
NGA,67597568.7,46581774.1,47120201.2,47938444.4
NIC,263097,203503.4,180614.4,165835.7
NLD,17181,17230,17277,17325
NOR,10355,8800,8883.2,8966.4
NPL,807942,672716,605542,621019.3
NRU,89.1,89.1,89.1,89.1
NZL,29834.7898731057,29936.5693358598,29864.7093819548,30127.087144104
OMN,31785.0988511573,32362.1990564064,32586.3102369418,33075.9544024069
PAK,13501922.4,9163022.4,5719336,6607251
PAN,63921,50048,41050.2,38485
PER,1352467.2,1040897.4,987595,994709.1
PHL,7437931.2,6800613.3,5283766.8,4625678.8
PLW,311.526643951123,304.238194051377,265.303453334195,239.753562641011
PNG,2841873,4012237,3950392.8,3981035.5
POL,0,0,0,0
PRI,22527.3030692668,22389.4834458554,22119.0819486773,22095.2239519019
PRK,365916.36392459,358876.60790124,300565.742762135,272683.193266357
PRT,18394.2,15274.5,15222,15171
PRY,92564.6,73634.7,73043.2,69483
PSE,52155.6,48594,17920,18368
PYF,1796.01238168675,1799.26457751937,1786.05056108518,1793.64090968934
QAT,17225.6720181709,17439.9706489932,17550.6805135207,17857.3672940936
ROU,422658.4,389759,330274.4,322959
RUS,71893.5,28727.2,28688.2,28640.8
RWA,6400851.7,6001819.4,5351413.5,5155797.3
SAU,214225.394392945,216544.255280087,217460.768314983,220775.915497389
SDN,11856214.3,13235202.4,14435338.7,21271578.9
SEN,1553160,1566708.1,1466878.8,1456928.1
SGP,36630.0119770133,36795.8817354814,36693.011527056,36973.3232943081
SLB,225892.8,240240,265843.2,270590.4
SLE,1846786.5,755412,734575.2,728547.3
SLV,119232,74899.5,68733,68411.2
SMR,209.843371056184,208.788381009073,206.550064887401,206.724715015043
SOM,5940856.66937379,5689001.7273893,5800457.20333442,5967738.34748396
SRB,4352,0,0,0
SSD,10195251,10368834.7,10725480.2,10971721.6
STP,32264,33026.3,34731,37629.5
SUR,93809.4,99809.6,100494.4,101179.2
SVK,6542.4,6541.2,5450,5447
SVN,0,0,0,0
SWE,32390.4,32601.6,29733.7,33008
SWZ,490842.9,477669.5,467941.4,465526.5
SXM,253.046418038339,257.915058893561,255.150080155025,261.44596310726
SYC,556.8,436.5,388,388
SYR,17956983.6,18586104.3,19421136.3,20377627.5
TCA,228.358962619965,227.210885215756,230.850072521213,231.045269722695
TCD,5341480,5604873.8,5873602,5940488.4
TGO,3034169.6,2790983.5,2903224.8,2870565.6
THA,69411,69498,55653.6,55696.8
TJK,347732.5,319613.6,261637.6,235305.5
TKM,100717.7,77074.2,78107.4,75348
TLS,348540.4,410318.8,268170.1,947580.9
TON,1931.4,1164.8,1175.2,1175.2
TTO,3445,3588,3588,3452.5
TUN,17854.5,14422.8,9703.2,9788
TUR,285039,101416.8,25505.7,25621.2
TUV,15.4,16.8,16.8,16.8
TWN,147001.453288711,146600.147642047,145332.270655921,145728.763808251
TZA,27940707.4,29051560.8,29096121.6,29192329.6
UGA,20007712,19961310.2,20252953.3,20438991.2
UKR,0,0,0,0
URY,4543.5,3506,3518,3528
USA,3314310,3337830,3361500,3385240
UZB,9641473.5,7937799.1,6489358.2,6086870.4
VCT,5447.7645420451,4903.63935967038,4567.4259499783,4493.25560671981
VEN,1628047.25575424,1482533.63307368,1396480.19721048,1388901.73983931
VGB,203.67150720159,202.647546273512,200.475062978948,206.724715015043
VIR,648.045704732333,644.787647233903,637.875200387563,632.334422398955
VNM,767208,754558.4,591150.5,495316.5
VUT,35779.8,38370,41279.4,45021.6
WSM,1360,505,1136.8,408
YEM,19420314.5,20376531.2,20912784.8,21825803
ZAF,13317922.8,12745880.2,12557162.8,12794982.1
ZMB,11650092.3,11910312,12172904.1,12468077.6
ZWE,7418528,7352226,7222164.6,7205762
